TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.208206,0.291125,1.36778,0.373703,0.275735,1.18523,0.0466146,0.0981718,1.06235,1.07944,1.18185,0.542742
0.046439909,0.0117184,0.320572,1.25984,0.80937,0.0262283,1.07451,0.0547321,0.383876,0.461354,0.97491,1.82255,0.541268
0.092879819,0.000234641,0.255471,0.758104,2.68816,0,1.05599,0.0542046,0.529437,0.084551,1.05679,1.77148,0.583842
0.139319728,0,0.250436,0.541722,2.84784,0.248536,0.515021,0.0611707,0.489936,0,1.29254,1.99952,0.294551
0.185759637,0.30697,0.248998,0.153077,3.24604,0.480695,0.242548,0.0878167,0.417206,0,1.15795,1.85955,0.182477
0.232199546,0.354422,0.23463,0.0285868,3.55571,0.330031,0.63307,0.0460574,0.36454,0.041897,1.05985,1.89802,0.16369
0.278639456,0.230852,0.214473,0.00302378,3.73926,0.393205,0.756241,0.00650446,0.347559,0.0685992,1.27785,1.75724,0.069154
0.325079365,0.152304,0.209793,0.00314167,3.82735,0.351505,0.766479,0.00279125,0.176274,0.108011,1.50487,1.24451,0
0.371519274,0.0318864,0.216643,0.172391,3.69518,0.211559,0.755027,0.0162061,0.0843557,0.265201,1.05142,1.08626,0.173746
0.417959184,0.0731297,0.211071,0.321217,3.62146,0.0105222,0.725691,0.019909,0.00888805,0.354833,0.528005,1.1626,0.474185
0.464399093,0.162011,0.568636,0.118375,3.68155,0.000155649,0.563721,0.00693345,0,0.103783,0.464231,1.38895,0.485674
0.510839002,0.229311,0.49373,0.301683,3.69364,0,0.23329,0.00930996,0.116167,0.142942,0.114483,1.1529,0.524088
0.557278912,0.302578,0.153921,0.417096,3.48693,0.11797,0.877136,0.0666455,0.42875,0.087989,0.285612,1.13018,0.609446
0.603718821,0.876411,0.0636927,0.385164,2.33585,0.153434,2.19444,0.229759,0.203773,0.765182,0.300573,1.98511,0.605909
0.650158730,0.667727,0.101182,0.2066,1.54261,0.169575,3.01293,0.116935,0.0494835,0.973104,0.09372,2.32017,0.17688
0.696598639,0.758103,0.215978,0.248035,1.35175,0.103013,3.28041,0.103643,0.153607,0.33575,0.0413845,2.1309,0.120402
0.743038549,0.860291,0.1926,0.242459,1.31411,0,3.37815,0.200191,0.157844,0,0.0591419,1.77928,0.184188
0.789478458,0.735773,0.290642,0.202416,1.22329,0,3.49387,0.122363,0.149423,0,0.333483,1.28213,0.205633
0.835918367,0.623419,0.278846,0.180604,1.23933,0,3.49055,0.111434,0.200799,0.127632,0.751823,1.29411,0.284679
0.882358277,0.48879,0.265492,0.124083,1.3793,0,3.48033,0.551919,0.186212,0.176019,0.914489,1.32104,0.0732014
0.928798186,0.556162,0.271565,0.238605,1.52962,0.0190821,3.41609,0.617765,0.000451163,0.177304,0.727953,1.35019,0
0.975238095,0.330504,0.24281,0.0594309,1.59468,0,3.32733,0.459665,0,0.159437,0.717665,1.46109,0
1.021678005,0.251674,0.213748,0.512262,1.72549,0,3.36535,0.0440368,0.043511,0.136649,0.923924,1.42031,0
1.068117914,0.200968,0,1.55692,1.44132,0,3.34982,0.0457355,0.542397,0.170743,0.99592,1.23121,0.0684779
1.114557823,0.124863,0.00213425,2.02184,0.670192,0.0124761,2.78445,0.0410913,2.14222,0.280447,0.457621,0.979127,0.465078
